id;placed_date;status;code;customer_id
1;2019-12-16T02:52:53;PENDING;calculating withdrawal Nevada;1
2;2019-12-16T06:19:37;COMPLETED;Strategist target;2
3;2019-12-15T11:09:59;PENDING;Cambridgeshire white sensor;3
4;2019-12-16T01:50:12;COMPLETED;Applications Response Human;4
5;2019-12-15T23:41:30;CANCELLED;Strategist SDD;5
6;2019-12-16T01:30:31;CANCELLED;infrastructure;6
7;2019-12-16T04:30:27;CANCELLED;Arkansas Intelligent Credit Card Account;7
8;2019-12-15T08:48:51;CANCELLED;program;8
9;2019-12-15T15:50:49;PENDING;discrete redundant;9
10;2019-12-15T13:07:58;CANCELLED;Avon;10
