id;tracking_code;date;details;invoice_id
1;Associate Designer;2019-12-16T07:14:04;circuit Guam;1
2;Frozen Metal program;2019-12-15T17:44:18;Refined Practical Algerian Dinar;2
3;revolutionize;2019-12-15T11:10:13;Steel Avon Visionary;3
4;exploit transition;2019-12-15T13:04:06;Interactions;4
5;Pennsylvania dynamic bandwidth;2019-12-15T21:00:56;mesh system Triple-buffered;5
6;Cotton;2019-12-15T20:45:09;Tools;6
7;Arizona hack;2019-12-15T14:09:47;quantifying;7
8;synthesize Idaho Markets;2019-12-15T23:34:43;asymmetric EXE;8
9;web services;2019-12-15T13:19:30;Strategist;9
10;Incredible Fresh Car Tuvalu;2019-12-15T08:44:40;Gorgeous Rubber Chicken Associate Central African Republic;10
